compositionId,recipeId,quantity,unit,ingredientId
649,137,2,dash,976
650,137,1,bsp,1078
651,138,1,oz,79
652,138,1.5,oz,984
653,138,.25,oz,81
654,138,2,dash,228
655,139,2,oz,142
656,139,.75,oz,827
657,139,.75,oz,893
658,139,.5,oz,332
659,139,.5,oz,1020
660,139,.5,oz,788
661,139,2,dash,1062
662,140,1.5,oz,424
663,140,.5,oz,907
664,140,.25,oz,646
665,140,.5,oz,936
666,140,1,dash,92
667,141,2,oz,1043
668,141,.75,oz,1084
669,141,.5,oz,323
670,141,2,dash,1151
671,142,1,oz,653
672,142,1,oz,754
673,142,.75,oz,1076
674,142,.5,oz,896
675,142,1,oz,1041
676,142,.5,oz,907
677,142,1,oz,31
678,143,4,oz,298
679,143,.5,oz,257
680,143,1,dash,521
681,144,2,oz,770
682,144,.75,oz,561
683,144,.25,oz,1078
684,144,4,dash,1011
685,145,1,oz,298
686,145,1,oz,494
687,145,.5,oz,754
688,146,2,oz,298
689,146,.25,oz,646
690,146,2,dash,636
691,146,1,dash,278
692,147,1.5,oz,79
693,147,.5,oz,830
694,147,.5,oz,1078
695,147,.5,oz,521
696,148,1.75,oz,653
697,148,.75,oz,155
698,148,.5,oz,311
699,148,.5,oz,430
700,148,1,,433
701,149,1.5,oz,947
702,149,.5,oz,1208
703,149,1,oz,166
704,149,.25,oz,1143
705,149,1,dash,364
706,150,2,oz,470
707,150,.5,oz,1001
708,150,.5,oz,832
709,150,.5,oz,340
710,150,.25,oz,933
711,150,.75,,1077
712,151,1.5,oz,653
713,151,1.5,oz,175
714,151,.75,oz,504
715,151,1,whole,863
716,152,.75,oz,984
717,152,.75,oz,36
718,152,.5,oz,338
719,152,.5,oz,13
720,152,.25,oz,225
721,152,1,bsp,750
722,153,1.5,oz,98
723,153,.75,oz,670
724,153,.75,oz,975
725,153,.25,oz,65
726,153,1,tincture,713
727,153,1,tincture,636
728,154,1.5,oz,98
729,154,.75,oz,687
730,154,.5,oz,178
731,154,.5,oz,646
732,155,1,oz,79
733,155,1,oz,101
734,155,2,dash,976
735,155,.25,oz,479
736,155,1,oz,386
737,155,1,oz,1129
738,156,9,oz,615
739,156,6,oz,17
740,156,6,oz,313
741,156,3,oz,1076
742,156,2,oz,827
743,156,1.5,oz,155
744,156,.5,oz,949
745,157,1.5,oz,1043
746,157,1,oz,1045
747,157,.75,oz,845
748,157,.5,oz,827
749,157,.25,oz,888
750,158,2,oz,494
751,158,.5,oz,279
752,158,1,bsp,1149
753,158,1,dash,1151
754,158,1,dash,713
755,159,2,oz,1002
756,159,1,oz,166
757,159,.5,oz,452
758,159,1,oz,1124
759,160,1.5,oz,494
760,160,.5,oz,1078
761,160,1,oz,1020
762,160,.75,oz,827
763,160,1,dash,757
764,160,,,608
765,161,2,oz,1096
766,161,0.5,oz,1076
767,161,3,dash,90
768,162,2,oz,298
769,162,.5,oz,1076
770,162,.75,oz,340
771,162,,,758
772,163,1.5,oz,298
773,163,.75,oz,1173
774,163,.5,oz,827
775,163,2,dash,976
776,163,,,732
777,164,2,oz,298
778,164,.5,oz,1076
779,164,3,oz,839
780,164,1,oz,166
781,164,.5,oz,249
782,164,.5,oz,86
783,164,2,dash,1151
784,165,1.5,oz,472
785,165,.5,oz,607
786,165,.5,oz,218
787,165,1,oz,1219
788,166,2,oz,244
789,166,1,oz,893
790,166,.25,oz,581
791,166,1,dash,460
792,167,2,oz,619
793,167,1,oz,1124
794,167,1,dash,757
795,168,1,oz,79
796,168,1,oz,777
797,168,.75,oz,668
798,168,1,oz,386
799,168,1,dash,475
800,169,1.5,oz,494
801,169,.75,oz,654
802,169,.75,oz,827
803,169,.75,oz,626
804,169,1,oz,832
805,170,2,oz,470
806,170,.75,oz,1124
807,170,.25,oz,1078
808,170,2,dash,976
809,171,1.5,oz,470
810,171,1,oz,680
811,171,1,oz,201
812,172,1.5,oz,79
813,172,1,oz,55
814,172,.75,oz,1003
815,173,1,part,653
816,173,1,part,1171
817,173,1,part,634
818,173,.5,part,1172
819,173,.33,part,489
820,173,,,1186
821,174,1.5,oz,1132
822,174,.75,oz,318
823,174,.75,oz,254
824,174,.625,oz,337
825,175,1,oz,653
826,175,.75,oz,827
827,175,.5,oz,1076
828,175,.5,oz,1172
829,176,1.5,oz,653
830,176,.5,oz,177
831,176,1,bsp,1027
832,176,1,oz,254
833,176,.75,oz,646
834,176,5,leaves,1125
835,177,1,oz,628
836,177,1,oz,615
837,177,1,oz,403
838,178,1.5,oz,470
839,178,1,oz,94
840,178,.5,oz,279
841,178,3,dash,1151
842,179,2,oz,494
843,179,.5,oz,931
844,179,1,bsp,230
845,179,3,dash,400
846,180,.75,oz,79
847,180,.75,oz,562
848,180,2.5,oz,313
849,181,1,oz,79
850,181,.25,oz,305
851,181,.75,oz,565
852,181,2,oz,313
853,182,.75,oz,79
854,182,.75,oz,54
855,182,.75,oz,250
856,182,.75,oz,637
857,182,2,dash,1138
858,182,1,dash,82
859,182,,,77
860,183,.5,oz,79
861,183,1,oz,494
862,183,1.5,oz,443
863,183,1,ml,1065
864,184,1.25,oz,1102
865,184,.5,oz,410
866,184,.25,oz,1115
867,184,1,oz,340
868,184,.5,oz,735
869,184,1,,707
870,184,3,dash,1151
871,185,1.5,oz,619
872,185,.25,oz,500
873,185,4,oz,384
874,185,2-3,oz,671
875,186,1.5,oz,126
876,186,.75,oz,121
877,186,.75,oz,340
878,186,.25,oz,1078
879,186,.125,oz,1157
880,187,1.5,oz,470
881,187,1,oz,893
882,187,.5,oz,1208
883,187,.5,oz,827
